website	linkUrl
AnVIL Book: Getting Started	
AnVIL Book: Getting Started	https://accounts.google.com/SignUp
AnVIL Book: Getting Started	https://anvil.terra.bio/
AnVIL Book: Getting Started	https://anvilproject.org/
AnVIL Book: Getting Started	https://anvilproject.org/data
AnVIL Book: Getting Started	https://anvilproject.org/events/anvil2023-december-demos
AnVIL Book: Getting Started	https://anvilproject.org/help
AnVIL Book: Getting Started	https://anvilproject.org/learn/accessing-data/requesting-data-access
AnVIL Book: Getting Started	https://anvilproject.org/learn/data-analysts/galaxy-gsg-video
AnVIL Book: Getting Started	https://anvilproject.org/learn/data-analysts/jupyter-gsg-video
AnVIL Book: Getting Started	https://anvilproject.org/learn/data-submitters/submission-guide/data-submitters-overview
AnVIL Book: Getting Started	https://anvilproject.org/learn/interactive-analysis/getting-started-with-bioconductor
AnVIL Book: Getting Started	https://anvilproject.org/learn/interactive-analysis/getting-started-with-galaxy
AnVIL Book: Getting Started	https://anvilproject.org/learn/interactive-analysis/getting-started-with-jupyter-notebooks
AnVIL Book: Getting Started	https://anvilproject.org/overview
AnVIL Book: Getting Started	https://bioconductor.org/packages/release/bioc/vignettes/Glimma/inst/doc/limma_edger.html
AnVIL Book: Getting Started	https://bookdown.org/
AnVIL Book: Getting Started	https://cloud.google.com/compute/all-pricing
AnVIL Book: Getting Started	https://cloud.google.com/files/genomics-data-wp.pdf
AnVIL Book: Getting Started	https://cloud.google.com/free/docs/gcp-free-tier
AnVIL Book: Getting Started	https://cloud.google.com/sdk/docs
AnVIL Book: Getting Started	https://cloud.google.com/sdk/docs/install
AnVIL Book: Getting Started	https://cloud.google.com/storage/pricing
AnVIL Book: Getting Started	https://console.cloud.google.com/
AnVIL Book: Getting Started	https://console.cloud.google.com/billing
AnVIL Book: Getting Started	https://creativecommons.org/licenses/by/4.0/
AnVIL Book: Getting Started	https://docs.google.com/document/d/145JFLn2hviLmaYF-mO06gbCkG0i4HRaWvkUBKORo85Y
AnVIL Book: Getting Started	https://docs.google.com/document/d/1qMZNvZig7vNXposBxA77AIASY0gDCwaYwGl2YwzHXuY
AnVIL Book: Getting Started	https://docs.google.com/forms/d/e/1FAIpQLScrDVb_utm55pmb_SHx-RgELTEbCCWdLea0T3IzS0Oj00GE4w/viewform?
AnVIL Book: Getting Started	https://docs.google.com/presentation/d/1GYUP874Qd7K3S0Ls6iWY_M4jywpRb53qw0f78OBCFwk
AnVIL Book: Getting Started	https://docs.google.com/presentation/d/1eypYLLqD11-NwHLs4adGpcuSB07dYEJfAaALSMvgzqw
AnVIL Book: Getting Started	https://docs.google.com/presentation/d/1yYCg4cPVBMMDghT17B4XzROieqyMH99Ex9nMm_Scm9Q
AnVIL Book: Getting Started	https://docs.google.com/presentation/d/1yYCg4cPVBMMDghT17B4XzROieqyMH99Ex9nMm_Scm9Q/edit?usp=sharing
AnVIL Book: Getting Started	https://docs.google.com/spreadsheets/d/1GUN93HDRqDbZ0uktaZjoP-y8Ril1T_VIJnQrjRD6tV4
AnVIL Book: Getting Started	https://gen3.theanvil.io/
AnVIL Book: Getting Started	https://gen3.theanvil.io/login
AnVIL Book: Getting Started	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02016-0
AnVIL Book: Getting Started	https://github.com/openwdl/learn-wdl
AnVIL Book: Getting Started	https://github.com/rstudio4edu/rstudio4edu-book/
AnVIL Book: Getting Started	https://help.anvilproject.org/
AnVIL Book: Getting Started	https://help.anvilproject.org/t/error-creating-billing-project/47
AnVIL Book: Getting Started	https://hutchdatascience.org/AnVIL_Collection/
AnVIL Book: Getting Started	https://publichealth.jhu.edu/faculty/4170/katherine-cox
AnVIL Book: Getting Started	https://support.google.com/accounts/answer/185839?co=GENIE.Platform%3DDesktop&hl=en
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360025851892-Reader-writer-or-owner-Workspace-access-con
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360026775691-Managing-data-privacy-and-access-with-Autho
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360029071251
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360029186611
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360037117492-Getting-started-with-WDL
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360038086332-Linking-Terra-to-External-Servers
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360043454592-Workflows-Quickstart-Part-1-Run-pre-configu
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/articles/360050390451
AnVIL Book: Getting Started	https://support.terra.bio/hc/en-us/sections/360004147951
AnVIL Book: Getting Started	https://www.sciencedirect.com/science/article/pii/S2666979X21001063
AnVIL Book: Getting Started	https://youtube.com/watch?v=Hh5tcnwubSg
AnVIL Book: Getting Started	https://youtube.com/watch?v=ONc1Wf7rEuw
AnVIL Book: Getting Started	https://youtube.com/watch?v=Vr7GH_h49ts
AnVIL Book: AnVIL Demos	
AnVIL Book: AnVIL Demos	https://anvil.terra.bio/
AnVIL Book: AnVIL Demos	https://anvilproject.org/
AnVIL Book: AnVIL Demos	https://anvilproject.org/data/
AnVIL Book: AnVIL Demos	https://bookdown.org/
AnVIL Book: AnVIL Demos	https://dockstore.org/
AnVIL Book: AnVIL Demos	https://docs.google.com/forms/d/e/1FAIpQLScEF5Z9alzqEM3XfFFCFTcBDdm2MxCciSaMRTPehALHz4CsiA/viewform
AnVIL Book: AnVIL Demos	https://docs.google.com/presentation/d/16DHXD2KNyjjP2mKzPDHmNE9loYy6OgqGG0-Kn8CLFak/edit?slide=id.g3
AnVIL Book: AnVIL Demos	https://docs.google.com/presentation/d/18J1x5rkWJisiv3EOMVZOma52XWxAVKANTg0Q2FXbOWU/edit?usp=sharing
AnVIL Book: AnVIL Demos	https://docs.google.com/presentation/d/19A1h1t_hy14sb1W80LYmACRTT6Hl-azKuKxEBWxjtRc
AnVIL Book: AnVIL Demos	https://docs.google.com/presentation/d/1eypYLLqD11-NwHLs4adGpcuSB07dYEJfAaALSMvgzqw
AnVIL Book: AnVIL Demos	https://docs.google.com/presentation/d/1nZIlyA-YIxRDYUiozl1UTXIhJJeBb7VbqlXWig7jXAk
AnVIL Book: AnVIL Demos	https://docs.google.com/presentation/d/1szpGrvCQodF1R2AaeqsvmNlJWTgzAsO8QurYfQagCf0
AnVIL Book: AnVIL Demos	https://docs.google.com/presentation/d/1wTcGBM-ZOo7SmyR7x_BCvau2bBig01Er59s4lXb1Bg4
AnVIL Book: AnVIL Demos	https://docs.google.com/presentation/d/1wTcGBM-ZOo7SmyR7x_BCvau2bBig01Er59s4lXb1Bg4/edit
AnVIL Book: AnVIL Demos	https://docs.google.com/presentation/d/1wTcGBM-ZOo7SmyR7x_BCvau2bBig01Er59s4lXb1Bg4/edit?usp=sharing
AnVIL Book: AnVIL Demos	https://en.wikipedia.org/wiki/Command-line_interface
AnVIL Book: AnVIL Demos	https://forms.gle/AK12iVXTjsB7yCUUA
AnVIL Book: AnVIL Demos	https://github.com/mccoy-lab/MAGE
AnVIL Book: AnVIL Demos	https://isee.github.io/iSEEWorkshopEuroBioc2020/
AnVIL Book: AnVIL Demos	https://isee.github.io/iSEEWorkshopEuroBioc2020/articles/dataset.html
AnVIL Book: AnVIL Demos	https://jhudatascience.org/AnVIL_Book_Getting_Started/data-analysts.html
AnVIL Book: AnVIL Demos	https://jhudatascience.org/AnVIL_Book_Getting_Started/overview-analysts.html
AnVIL Book: AnVIL Demos	https://support.terra.bio/hc/en-us/articles/360029801491
AnVIL Book: AnVIL Demos	https://www.youtube.com/watch?v=0PRCFkLZOeo&list=PL6aYJ_0zJ4uC978C57P3TgAAfB38uy58E
AnVIL Book: AnVIL Demos	https://www.youtube.com/watch?v=44X-m-JLPTA&list=PL6aYJ_0zJ4uC978C57P3TgAAfB38uy58E
AnVIL Book: AnVIL Demos	https://www.youtube.com/watch?v=9t6rYA4Sx8E&list=PL6aYJ_0zJ4uC978C57P3TgAAfB38uy58E
AnVIL Book: AnVIL Demos	https://www.youtube.com/watch?v=_uT0IWL1wso&list=PL6aYJ_0zJ4uC978C57P3TgAAfB38uy58E
AnVIL Book: AnVIL Demos	https://www.youtube.com/watch?v=fcMUU7NrEeM&list=PL6aYJ_0zJ4uC978C57P3TgAAfB38uy58E
AnVIL Book: AnVIL Demos	https://www.youtube.com/watch?v=yAwQKft1LS8&list=PL6aYJ_0zJ4uC978C57P3TgAAfB38uy58E
